Name, Mac, FLOPs, OnChipMemTraffic, OffChipMemTraffic, OffChipMemLWTraffic, OffChipLoadStoreCnt, Time
TileLayerGroup_0, 5846528, 5850672, 4113346, 32952, 565388, 3, 0.0
TileLayerGroup_1, 19838016, 3580992, 2300308, 32928, 271924, 2, 0.0
TileLayerGroup_2, 2709504, 2709504, 1994944, 37632, 58080, 3, 0.0
TileLayerGroup_3, 19838016, 3580992, 2300308, 32928, 271924, 2, 0.0
TileLayerGroup_4, 9877536, 5813280, 3493268, 42336, 118156, 3, 0.0
TileLayerGroup_5, 6136128, 2073024, 846324, 37632, 32476, 2, 0.0
TileLayerGroup_6, 7369440, 4737120, 2626732, 64288, 43356, 3, 0.0
TileLayerGroup_7, 14377920, 3466560, 1526148, 54880, 65476, 2, 0.0
TileLayerGroup_8, 1881600, 1881600, 1900240, 62720, 10760, 3, 0.0
TileLayerGroup_9, 14377920, 3466560, 1526148, 54880, 65476, 2, 0.0
TileLayerGroup_10, 21724800, 19341440, 7580516, 158368, 37276, 2, 0.0
